State,Code,Unemp
Alabama,AL,12.9
Alaska,AK,12.9
Arizona,AZ,12.6
Arkansas,AR,10.2
California,CA,15.5
Colorado,CO,11.3
Connecticut,CT,7.9
Delaware,DE,14.3
District of Columbia,D.C.,11.1
Florida,FL,12.9
Georgia,GA,11.9
Hawaii,HI,22.3
Idaho,ID,11.5
Illinois,IL,16.4
Indiana,IN,16.9
Iowa,IA,10.2
Kansas,KS,11.2
Kentucky,KY,15.4
Louisiana,LA,14.5
Maine,ME,10.6
Maryland,MD,9.9
Massachusetts,MA,15.1
Michigan,MI,22.7
Minnesota,MN,8.1
Mississippi,MS,15.4
Missouri,MO,9.7
Montana,MT,11.3
Nebraska,NE,8.3
Nevada,NV,28.2
New Hampshire,NH,16.3
New Jersey,NJ,15.3
New Mexico,NM,11.3
New York,NY,14.5
North Carolina,NC,12.2
North Dakota,ND,8.5
Ohio,OH,16.8
Oklahoma,OK,13.7
Oregon,OR,14.2
Pennsylvania,PA,15.1
Rhode Island,RI,17
South Carolina,SC,12.1
South Dakota,SD,10.2
Tennessee,TN,14.7
Texas,TX,12.8
Utah,UT,9.7
Vermont,VT,15.6
Virginia,VA,10.6
Washington,WA,15.4
West Virginia,WV,15.2
Wisconsin,WI,14.1
Wyoming,WY,9.2
